run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_6_k1_9_eta_003,0,1620,405,0.5454778406872316,0.5528846153846154,0.558252427184466,0.5555555555555556,0.5456790123456791,42,"{0: 6, 1: 9}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[254, 1385, 1200, 921, 386, 1027, 1160, 214, 852, 957, 5, 976, 394, 381, 462]","[254, 1385, 1200, 921, 386, 1027]","[1160, 214, 852, 957, 5, 976, 394, 381, 462]",6,9
m3glvq_k0_6_k1_9_eta_003,1,1620,405,0.5257345763373682,0.35096153846153844,0.553030303030303,0.42941176470588227,0.5209876543209877,42,"{0: 6, 1: 9}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[117, 474, 366, 1229, 470, 970, 724, 145, 442, 1022, 521, 258, 623, 644, 1029]","[117, 474, 366, 1229, 470, 970]","[724, 145, 442, 1022, 521, 258, 623, 644, 1029]",6,9
m3glvq_k0_6_k1_9_eta_003,2,1620,405,0.5420123975009762,0.4951923076923077,0.5597826086956522,0.5255102040816327,0.5407407407407407,42,"{0: 6, 1: 9}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1196, 1590, 588, 374, 1471, 421, 978, 1231, 1431, 962, 664, 1139, 505, 1015, 780]","[1196, 1590, 588, 374, 1471, 421]","[978, 1231, 1431, 962, 664, 1139, 505, 1015, 780]",6,9
m3glvq_k0_6_k1_9_eta_003,3,1620,405,0.5596179183135704,0.48792270531400966,0.5804597701149425,0.5301837270341208,0.5580246913580247,42,"{0: 6, 1: 9}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[482, 1468, 179, 959, 85, 476, 1003, 1262, 194, 50, 62, 927, 766, 843, 1544]","[482, 1468, 179, 959, 85, 476]","[1003, 1262, 194, 50, 62, 927, 766, 843, 1544]",6,9
m3glvq_k0_6_k1_9_eta_003,4,1620,405,0.5802591128678085,0.5797101449275363,0.5911330049261084,0.5853658536585366,0.5802469135802469,42,"{0: 6, 1: 9}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1474, 384, 501, 68, 623, 1048, 1194, 1231, 1052, 598, 1270, 1167, 368, 631, 1025]","[1474, 384, 501, 68, 623, 1048]","[1194, 1231, 1052, 598, 1270, 1167, 368, 631, 1025]",6,9
