matrix,n,sym_max_abs_diff,diag_min,diag_max,D_min,D_max,D_mean_all,D_std_all,dist_mean_ut,dist_std_ut,dist_cv_ut,q0,q01,q05,q50,q95,q99,q100,row_mean_mean,row_mean_std,knn_mean_mean,knn_mean_std,knn_global_mean,knn_global_std,intrinsic_dim_2nn,zero_rate_global,zero_rows_any,zero_rows_10plus,zero_per_row_mean,zero_per_row_std,zero_per_row_max,n_unique_dist_values,intra_mean,inter_mean,sep_ratio_inter_intra,margin_mu_mean,margin_frac_neg,knn_purity_mean,n_class0,n_class1,knn_purity_baseline_mean,knn_purity_baseline_std,knn_purity_z,robust_mu_mean,robust_mu_std,robust_mu_frac_neg,robust_mu_frac_zero
naics,2025,0.0,0.0,0.0,0.0,1.0,0.8521879876035157,0.20823012993547463,0.8526090290993673,0.20741799837918237,0.24327445675573398,0.0,0.0,0.3,0.9500000000000001,1.0,1.0,1.0,0.852187987603516,0.07194785925607891,0.04419753086419753,0.0999187166601111,0.04419753086419753,0.12253873470384657,1.2918069321995642,0.011780120040989606,0.9683950617283951,0.6775308641975308,23.842962962962964,21.029600611719893,83.0,21,0.8506286629312816,0.8545899519703478,1.0046568957897746,-0.03105228081380821,0.06320987654320988,0.5703703703703704,987,1038,0.5256454320987654,0.0030630891440512776,14.601252576622723,-0.014774011151115513,0.13517645677338036,0.08,0.8795061728395062
hs,2025,0.0,0.0,0.0,0.0,1.0,0.9133604168891907,0.14730428159236908,0.9138113856315613,0.1459345817565918,0.15969880004912854,0.0,0.46736112236976624,0.5666666626930237,1.0,1.0,1.0,1.0,0.913360595703125,0.058972105383872986,0.4073197543621063,0.17420588433742523,0.40731972455978394,0.2254774123430252,7.661832433995638,0.00028790318645391107,0.09234567901234568,0.018271604938271607,0.582716049382716,2.5832382951997976,18.0,5628,0.9122481942176819,0.9153743386268616,1.0034268573278575,-0.020672135706693007,0.31753086419753085,0.5259753086419753,987,1038,0.5032414814814815,0.0036568927887156368,6.216705948948963,-0.007714921460404949,0.11693769091973823,0.32098765432098764,0.4291358024691358
am,2025,0.0,0.0,0.0,0.0,1.0,0.6900126338005066,0.19943049550056458,0.6903536915779114,0.19888894259929657,0.2880971667504302,0.0,0.25,0.42500001192092896,0.6666666865348816,1.0,1.0,1.0,0.6900126338005066,0.09210207313299179,0.35546717047691345,0.1903313845396042,0.35546717047691345,0.22596599161624908,14.024182982428515,0.007726052798516567,0.17135802469135802,0.16641975308641976,15.637530864197531,39.24010126465068,140.0,101,0.6888754963874817,0.6918317079544067,1.0042913582823423,-0.0019557162731935053,0.15358024691358024,0.5239999999999999,987,1038,0.5016819753086419,0.0035876522477966354,6.2207881766812525,-0.000770531088013772,0.027602683130933014,0.15604938271604937,0.6933333333333334
