run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_5_k1_10_eta_003,0,1620,405,0.5843542561499415,0.5240384615384616,0.6089385474860335,0.5633074935400517,0.582716049382716,42,"{0: 5, 1: 10}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1035, 1385, 1468, 97, 1204, 85, 147, 1067, 1087, 581, 1039, 1076, 607, 394, 462]","[1035, 1385, 1468, 97, 1204]","[85, 147, 1067, 1087, 581, 1039, 1076, 607, 394, 462]",5,10
m3glvq_k0_5_k1_10_eta_003,1,1620,405,0.5420123975009762,0.4951923076923077,0.5597826086956522,0.5255102040816327,0.5407407407407407,42,"{0: 5, 1: 10}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1494, 498, 970, 543, 620, 47, 984, 52, 664, 724, 1173, 1250, 233, 184, 1022]","[1494, 498, 970, 543, 620]","[47, 984, 52, 664, 724, 1173, 1250, 233, 184, 1022]",5,10
m3glvq_k0_5_k1_10_eta_003,2,1620,405,0.5655261616556033,0.47115384615384615,0.593939393939394,0.5254691689008043,0.562962962962963,42,"{0: 5, 1: 10}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[993, 374, 1471, 542, 588, 962, 381, 1209, 486, 723, 368, 891, 174, 1083, 446]","[993, 374, 1471, 542, 588]","[962, 381, 1209, 486, 723, 368, 891, 174, 1083, 446]",5,10
m3glvq_k0_5_k1_10_eta_003,3,1620,405,0.562143170838823,0.48792270531400966,0.5838150289017341,0.531578947368421,0.5604938271604938,42,"{0: 5, 1: 10}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[97, 1536, 407, 1468, 482, 856, 763, 701, 766, 1008, 1482, 1097, 1544, 817, 1036]","[97, 1536, 407, 1468, 482]","[856, 763, 701, 766, 1008, 1482, 1097, 1544, 817, 1036]",5,10
m3glvq_k0_5_k1_10_eta_003,4,1620,405,0.5587395696091348,0.5265700483091788,0.5736842105263158,0.54911838790932,0.5580246913580247,42,"{0: 5, 1: 10}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[403, 617, 499, 1048, 1013, 285, 636, 1025, 1395, 1364, 1108, 1258, 31, 550, 674]","[403, 617, 499, 1048, 1013]","[285, 636, 1025, 1395, 1364, 1108, 1258, 31, 550, 674]",5,10
