run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_7_k1_4_eta_005,0,1620,405,0.5360332877782117,0.2548076923076923,0.5955056179775281,0.3569023569023569,0.528395061728395,42,"{0: 7, 1: 4}",150,0.05,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1333, 1035, 436, 615, 1426, 97, 1468, 1043, 1398, 164, 1078]","[1333, 1035, 436, 615, 1426, 97, 1468]","[1043, 1398, 164, 1078]",7,4
m3glvq_k0_7_k1_4_eta_005,1,1620,405,0.5723594299101913,0.3173076923076923,0.66,0.4285714285714286,0.5654320987654321,42,"{0: 7, 1: 4}",150,0.05,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1537, 366, 1055, 198, 35, 880, 541, 1431, 644, 1060, 441]","[1537, 366, 1055, 198, 35, 880, 541]","[1431, 644, 1060, 441]",7,4
m3glvq_k0_7_k1_4_eta_005,2,1620,405,0.5558009566575557,0.27403846153846156,0.6404494382022472,0.38383838383838387,0.5481481481481482,42,"{0: 7, 1: 4}",150,0.05,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[511, 1193, 301, 374, 105, 329, 1541, 1431, 821, 962, 1071]","[511, 1193, 301, 374, 105, 329, 1541]","[1431, 821, 962, 1071]",7,4
m3glvq_k0_7_k1_4_eta_005,3,1620,405,0.5653271848924023,0.34782608695652173,0.6260869565217392,0.4472049689440994,0.5604938271604938,42,"{0: 7, 1: 4}",150,0.05,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1468, 619, 482, 959, 97, 110, 206, 194, 1076, 840, 682]","[1468, 619, 482, 959, 97, 110, 206]","[194, 1076, 840, 682]",7,4
m3glvq_k0_7_k1_4_eta_005,4,1620,405,0.569828722002635,0.3719806763285024,0.6260162601626016,0.4666666666666666,0.5654320987654321,42,"{0: 7, 1: 4}",150,0.05,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[809, 384, 1252, 1044, 403, 734, 104, 171, 1092, 71, 207]","[809, 384, 1252, 1044, 403, 734, 104]","[171, 1092, 71, 207]",7,4
