A,B,subset,quantile,tA,tB,agree_similar,agree_dissimilar,A_only_similar,B_only_similar,n_pairs
hs,am,all,0.1,0.6708333492279053,0.4895833432674408,0.014039428097399113,0.8135582881959693,0.08601717659688674,0.08638510710974479,2049300
hs,am,diff,0.1,0.6708333492279053,0.4895833432674408,0.013439647986444198,0.8171587086849662,0.08403464694203841,0.08536699638655118,1024506
hs,am,same,0.1,0.6708333492279053,0.4895833432674408,0.014639039650895693,0.8099588795406687,0.08799914909728199,0.08740293171115365,1024794
naics,am,all,0.1,0.65,0.4895833432674408,0.015936173327477675,0.8003376762797053,0.09923778851315083,0.08448836187966623,2049300
naics,am,diff,0.1,0.65,0.4895833432674408,0.015392784424883798,0.8038195969569725,0.09737375867003219,0.08341385994811158,1024506
naics,am,same,0.1,0.65,0.4895833432674408,0.016479409520352383,0.7968567341338845,0.10110129450406619,0.08556256184169697,1024794
naics,hs,all,0.1,0.65,0.6708333492279053,0.018437027277606988,0.8032064607426926,0.09673693456302151,0.08161957741667887,2049300
naics,hs,diff,0.1,0.65,0.6708333492279053,0.017585060507210305,0.8073442224838117,0.09518148258770569,0.0798892344212723,1024506
naics,hs,same,0.1,0.65,0.6708333492279053,0.019288754618001277,0.7990698618454051,0.09829194940641729,0.08334943413017641,1024794
