matrix,mean_knn_overlap_to_others,min_knn_overlap_to_others,max_knn_overlap_to_others
am,0.008428723149512048,0.008330901178051733,0.008526545120972364
hs,0.044948403319003016,0.008330901178051733,0.0815659054599543
naics,0.045046225290463336,0.008526545120972364,0.0815659054599543
