profile_name,K_0,K_1,balanced_accuracy_mean,balanced_accuracy_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,accuracy_mean,accuracy_std
C4_primary,3,5,0.581727356285262,0.03798599871495416,0.6831310679611651,0.074068376624239,0.5807713628728172,0.032054880623225784,0.6262845397401998,0.04110635664302783,0.5842169438618738,0.03798139067384449
C3_secondary,6,3,0.5758540629119686,0.03653235201618018,0.6542849141150112,0.10875749229514307,0.5754989369980015,0.030863514295786886,0.6095632749300994,0.06751154888420043,0.5777813002975174,0.0378127737680014
C3_primary,4,3,0.569235598543851,0.040072331890574506,0.7140123226288274,0.09861018201049075,0.5649508782171806,0.03208214259659604,0.6289012119194084,0.05558457616585934,0.5728308052480126,0.04078349506035182
C0_primary,6,5,0.5692298840010352,0.03088742737199767,0.5914488424197162,0.08038818997474736,0.5772374244561547,0.026778086604745847,0.5827271908668228,0.05155166142924552,0.5698580695507974,0.031764437096809754
C0_secondary,4,6,0.5647657166381161,0.034798238756108754,0.6280059746079163,0.07367525026068142,0.5699332627784461,0.03185301088574058,0.5960501994868469,0.044394083757301785,0.5663756523435595,0.0351071649402041
C4_secondary,4,4,0.5642430567968015,0.04865235749627711,0.5510175504107543,0.0902303913816843,0.5782958220661903,0.049839013484876515,0.5618558815456035,0.06309485955128852,0.5639564941715847,0.0491625991474039
