run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_9_k1_10_eta_0003,0,1620,405,0.5052713783678251,0.5384615384615384,0.5185185185185185,0.5283018867924528,0.5061728395061729,42,"{0: 9, 1: 10}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5554490714260837,0.3165266140034715,0.12802431457044475,"[1200, 1537, 95, 386, 1426, 205, 1585, 189, 1055, 976, 668, 1160, 553, 745, 291, 1351, 1217, 684, 228]","[1200, 1537, 95, 386, 1426, 205, 1585, 189, 1055]","[976, 668, 1160, 553, 745, 291, 1351, 1217, 684, 228]",9,10
m3glvq_k0_9_k1_10_eta_0003,1,1620,405,0.4743020304568528,0.375,0.48148148148148145,0.42162162162162165,0.47160493827160493,42,"{0: 9, 1: 10}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5705163785963266,0.23140162090822813,0.19808200049544505,"[555, 1229, 958, 124, 198, 543, 541, 479, 453, 148, 614, 521, 1029, 145, 623, 442, 1559, 258, 951]","[555, 1229, 958, 124, 198, 543, 541, 479, 453]","[148, 614, 521, 1029, 145, 623, 442, 1559, 258, 951]",9,10
m3glvq_k0_9_k1_10_eta_0003,2,1620,405,0.5366678055447092,0.5048076923076923,0.5526315789473685,0.5276381909547739,0.5358024691358024,42,"{0: 9, 1: 10}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.567920517621533,0.18799380619655298,0.24408567618191407,"[588, 188, 1247, 636, 498, 1022, 452, 400, 830, 1520, 381, 353, 139, 723, 1025, 1007, 698, 156, 962]","[588, 188, 1247, 636, 498, 1022, 452, 400, 830]","[1520, 381, 353, 139, 723, 1025, 1007, 698, 156, 962]",9,10
m3glvq_k0_9_k1_10_eta_0003,3,1620,405,0.5767457180500659,0.7342995169082126,0.5692883895131086,0.6413502109704642,0.5802469135802469,42,"{0: 9, 1: 10}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5281850440377527,0.2456941712107091,0.22612078475153807,"[158, 1536, 1032, 97, 302, 1022, 1252, 24, 948, 356, 1084, 1355, 856, 229, 260, 637, 1444, 29, 1138]","[158, 1536, 1032, 97, 302, 1022, 1252, 24, 948]","[356, 1084, 1355, 856, 229, 260, 637, 1444, 29, 1138]",9,10
m3glvq_k0_9_k1_10_eta_0003,4,1620,405,0.5149319279754063,0.45410628019323673,0.5280898876404494,0.4883116883116883,0.5135802469135803,42,"{0: 9, 1: 10}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5761388299646832,0.29283044706466255,0.13103072297065424,"[1095, 497, 775, 617, 418, 779, 1434, 1053, 734, 1063, 151, 1025, 976, 555, 1439, 759, 1058, 1582, 929]","[1095, 497, 775, 617, 418, 779, 1434, 1053, 734]","[1063, 151, 1025, 976, 555, 1439, 759, 1058, 1582, 929]",9,10
