run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_10_k1_9_eta_0015,0,1620,405,0.5348252635689184,0.2980769230769231,0.5794392523364486,0.3936507936507937,0.528395061728395,42,"{0: 10, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1055, 364, 1426, 299, 1498, 657, 1468, 1071, 570, 739, 1447, 29, 366, 553, 852, 162, 668, 194, 504]","[1055, 364, 1426, 299, 1498, 657, 1468, 1071, 570, 739]","[1447, 29, 366, 553, 852, 162, 668, 194, 504]",10,9
m3glvq_k0_10_k1_9_eta_0015,1,1620,405,0.5480525185474424,0.27884615384615385,0.6170212765957447,0.3841059602649007,0.5407407407407407,42,"{0: 10, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[85, 1200, 476, 741, 543, 541, 272, 1073, 870, 628, 919, 394, 145, 623, 1250, 724, 1029, 984, 442]","[85, 1200, 476, 741, 543, 541, 272, 1073, 870, 628]","[919, 394, 145, 623, 1250, 724, 1029, 984, 442]",10,9
m3glvq_k0_10_k1_9_eta_0015,2,1620,405,0.5505661850839516,0.46153846153846156,0.5748502994011976,0.512,0.5481481481481482,42,"{0: 10, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1424, 1243, 1596, 548, 993, 573, 1416, 1221, 1001, 588, 1139, 1007, 183, 1431, 962, 664, 304, 1442, 87]","[1424, 1243, 1596, 548, 993, 573, 1416, 1221, 1001, 588]","[1139, 1007, 183, 1431, 962, 664, 304, 1442, 87]",10,9
m3glvq_k0_10_k1_9_eta_0015,3,1620,405,0.5534694773825208,0.3140096618357488,0.6132075471698113,0.41533546325878595,0.5481481481481482,42,"{0: 10, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[302, 1033, 778, 1079, 1059, 412, 1468, 581, 666, 1536, 373, 50, 1008, 143, 162, 1159, 1003, 194, 843]","[302, 1033, 778, 1079, 1059, 412, 1468, 581, 666, 1536]","[373, 50, 1008, 143, 162, 1159, 1003, 194, 843]",10,9
m3glvq_k0_10_k1_9_eta_0015,4,1620,405,0.5782828282828283,0.3333333333333333,0.6634615384615384,0.44372990353697744,0.5728395061728395,42,"{0: 10, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[921, 1225, 1073, 1597, 578, 384, 623, 497, 1474, 1406, 971, 1323, 929, 758, 33, 1443, 362, 171, 478]","[921, 1225, 1073, 1597, 578, 384, 623, 497, 1474, 1406]","[971, 1323, 929, 758, 33, 1443, 362, 171, 478]",10,9
