run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_8_k1_9_eta_00075,0,1620,405,0.5023428348301444,0.46153846153846156,0.5161290322580645,0.4873096446700508,0.5012345679012346,42,"{0: 8, 1: 9}",150,0.0075,[0.33333333 0.33333333 0.33333333],True,True,True,0.9682274783320229,0.03177252166797711,0.0,"[657, 739, 254, 1499, 386, 1024, 570, 422, 218, 668, 1083, 194, 178, 745, 1596, 347, 228]","[657, 739, 254, 1499, 386, 1024, 570, 422]","[218, 668, 1083, 194, 178, 745, 1596, 347, 228]",8,9
m3glvq_k0_8_k1_9_eta_00075,1,1620,405,0.5241116751269035,0.5,0.538860103626943,0.5187032418952618,0.5234567901234568,42,"{0: 8, 1: 9}",150,0.0075,[0.33333333 0.33333333 0.33333333],True,True,True,0.9570495401609355,0.020916320812064834,0.02203413902699958,"[1200, 187, 541, 1494, 870, 445, 210, 366, 724, 148, 52, 1146, 442, 1250, 664, 1022, 521]","[1200, 187, 541, 1494, 870, 445, 210, 366]","[724, 148, 52, 1146, 442, 1250, 664, 1022, 521]",8,9
m3glvq_k0_8_k1_9_eta_00075,2,1620,405,0.5699189769621242,0.5865384615384616,0.580952380952381,0.583732057416268,0.5703703703703704,42,"{0: 8, 1: 9}",150,0.0075,[0.33333333 0.33333333 0.33333333],True,True,True,0.9546378815137015,0.04288099391744381,0.0024811245688545463,"[636, 1328, 1502, 549, 1001, 204, 548, 686, 136, 881, 1565, 139, 268, 174, 156, 41, 256]","[636, 1328, 1502, 549, 1001, 204, 548, 686]","[136, 881, 1565, 139, 268, 174, 156, 41, 256]",8,9
m3glvq_k0_8_k1_9_eta_00075,3,1620,405,0.5290953008344312,0.4975845410628019,0.5421052631578948,0.5188916876574307,0.528395061728395,42,"{0: 8, 1: 9}",150,0.0075,[0.33333333 0.33333333 0.33333333],True,True,True,0.9443918216649139,0.05560817833508609,0.0,"[24, 412, 1059, 1468, 1483, 302, 179, 1536, 1564, 763, 1087, 817, 849, 1008, 701, 1041, 1544]","[24, 412, 1059, 1468, 1483, 302, 179, 1536]","[1564, 763, 1087, 817, 849, 1008, 701, 1041, 1544]",8,9
m3glvq_k0_8_k1_9_eta_00075,4,1620,405,0.5749890206411945,0.4782608695652174,0.6036585365853658,0.5336927223719676,0.5728395061728395,42,"{0: 8, 1: 9}",150,0.0075,[0.33333333 0.33333333 0.33333333],True,True,True,0.9312251141977655,0.06877488580223437,0.0,"[1252, 1073, 1053, 1044, 384, 1048, 623, 1361, 1025, 1097, 1364, 1106, 1052, 478, 963, 758, 197]","[1252, 1073, 1053, 1044, 384, 1048, 623, 1361]","[1025, 1097, 1364, 1106, 1052, 478, 963, 758, 197]",8,9
