run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_10_k1_6_eta_003,0,1620,405,0.5309571456462319,0.2548076923076923,0.5824175824175825,0.35451505016722407,0.5234567901234568,42,"{0: 10, 1: 6}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1257, 739, 570, 1055, 726, 494, 657, 1385, 1200, 1426, 852, 1447, 164, 194, 805, 1095]","[1257, 739, 570, 1055, 726, 494, 657, 1385, 1200, 1426]","[852, 1447, 164, 194, 805, 1095]",10,6
m3glvq_k0_10_k1_6_eta_003,1,1620,405,0.5535191331511129,0.3557692307692308,0.6016260162601627,0.44712990936555896,0.5481481481481482,42,"{0: 10, 1: 6}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[164, 85, 543, 880, 855, 199, 541, 1016, 1605, 1057, 64, 1060, 201, 734, 1349, 1019]","[164, 85, 543, 880, 855, 199, 541, 1016, 1605, 1057]","[64, 1060, 201, 734, 1349, 1019]",10,6
m3glvq_k0_10_k1_6_eta_003,2,1620,405,0.5352401405700898,0.19230769230769232,0.625,0.29411764705882354,0.5259259259259259,42,"{0: 10, 1: 6}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1247, 548, 1541, 1590, 341, 636, 400, 1182, 1193, 1471, 136, 1520, 962, 1025, 978, 604]","[1247, 548, 1541, 1590, 341, 636, 400, 1182, 1193, 1471]","[136, 1520, 962, 1025, 978, 604]",10,6
m3glvq_k0_10_k1_6_eta_003,3,1620,405,0.5395256916996047,0.2608695652173913,0.6,0.36363636363636365,0.5333333333333333,42,"{0: 10, 1: 6}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[412, 1468, 482, 1308, 302, 1241, 1381, 1033, 1059, 905, 682, 840, 194, 1159, 1262, 176]","[412, 1468, 482, 1308, 302, 1241, 1381, 1033, 1059, 905]","[682, 840, 194, 1159, 1262, 176]",10,6
m3glvq_k0_10_k1_6_eta_003,4,1620,405,0.5590689503732982,0.40096618357487923,0.5971223021582733,0.4797687861271676,0.5555555555555556,42,"{0: 10, 1: 6}",150,0.03,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[104, 1225, 623, 1579, 384, 740, 809, 1073, 1597, 1044, 1092, 207, 171, 1570, 1025, 1404]","[104, 1225, 623, 1579, 384, 740, 809, 1073, 1597, 1044]","[1092, 207, 171, 1570, 1025, 1404]",10,6
