matrix,best_score_balanced_accuracy,balanced_accuracy_from_oof,recall_from_oof,precision_from_oof,specificity_from_oof,f1_from_oof,tp,fp,tn,fn,best_K,best_T,best_track_path
naics,0.5833260127319899,0.5734432009182963,0.5298651252408478,0.5926724137931034,0.6170212765957447,0.5595116988809767,550,378,609,488,7,150,True
hs,0.583926302042155,0.5794168116145733,0.6319845857418112,0.5841495992876224,0.5268490374873354,0.6071263304025913,656,467,520,382,4,150,True
am,0.5571080110804623,0.5363789963162734,0.5134874759152216,0.5506198347107438,0.5592705167173252,0.531405782652044,533,435,552,505,10,150,True
