run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_3_k1_10_eta_0003,1,1620,405,0.5597422881686841,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.5654320987654321,42,"{0: 3, 1: 10}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.4946403484586087,0.3506900821991545,0.1546695693422367,"[1494, 294, 1345, 725, 1596, 1349, 929, 1359, 31, 364, 1029, 984, 233]","[1494, 294, 1345]","[725, 1596, 1349, 929, 1359, 31, 364, 1029, 984, 233]",3,10
m3glvq_k0_3_k1_10_eta_0003,2,1620,405,0.5425126903553299,0.75,0.5435540069686411,0.6303030303030303,0.5481481481481482,42,"{0: 3, 1: 10}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5226195179278701,0.3503599619976065,0.1270205200745234,"[188, 1503, 374, 297, 1063, 730, 139, 156, 1392, 1442, 1374, 528, 962]","[188, 1503, 374]","[297, 1063, 730, 139, 156, 1392, 1442, 1374, 528, 962]",3,10
m3glvq_k0_3_k1_10_eta_0003,3,1620,405,0.5333772507685551,0.8647342995169082,0.5311572700296736,0.6580882352941176,0.5407407407407407,42,"{0: 3, 1: 10}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5763252189774019,0.2863782120870194,0.1372965689355788,"[745, 985, 1492, 1583, 701, 143, 1444, 400, 162, 50, 1355, 1008, 763]","[745, 985, 1492]","[1583, 701, 143, 1444, 400, 162, 50, 1355, 1008, 763]",3,10
m3glvq_k0_3_k1_10_eta_0003,4,1620,405,0.5231664470794906,0.7584541062801933,0.5268456375838926,0.6217821782178218,0.528395061728395,42,"{0: 3, 1: 10}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.572941916719703,0.2518814269344207,0.1751766563458763,"[775, 233, 384, 729, 1508, 1175, 1025, 1404, 758, 1368, 736, 1582, 237]","[775, 233, 384]","[729, 1508, 1175, 1025, 1404, 758, 1368, 736, 1582, 237]",3,10
m3glvq_k0_4_k1_3_eta_0003,0,1620,405,0.5872705974228817,0.6923076923076923,0.5853658536585366,0.6343612334801763,0.5901234567901235,42,"{0: 4, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3518301707960387,0.3291785243600583,0.3189913048439029,"[1358, 1058, 1499, 299, 630, 1398, 1447]","[1358, 1058, 1499, 299]","[630, 1398, 1447]",4,3
m3glvq_k0_4_k1_3_eta_0003,1,1620,405,0.5974106794221008,0.7836538461538461,0.5842293906810035,0.6694045174537987,0.6024691358024692,42,"{0: 4, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3512964953728588,0.329720937712952,0.3189825669141892,"[1494, 517, 294, 1543, 1442, 1390, 984]","[1494, 517, 294, 1543]","[1442, 1390, 984]",4,3
m3glvq_k0_4_k1_3_eta_0003,2,1620,405,0.5736528699726668,0.6346153846153846,0.5789473684210527,0.6055045871559633,0.5753086419753086,42,"{0: 4, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.4282123518892157,0.4550522059925003,0.1167354421182838,"[1503, 1476, 830, 579, 978, 1442, 1359]","[1503, 1476, 830, 579]","[978, 1442, 1359]",4,3
m3glvq_k0_4_k1_3_eta_0003,3,1620,405,0.5509442248572683,0.6473429951690821,0.5537190082644629,0.5968819599109132,0.5530864197530864,42,"{0: 4, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3393711618864301,0.341687596095535,0.3189412420180349,"[24, 957, 504, 77, 453, 1008, 1444]","[24, 957, 504, 77]","[453, 1008, 1444]",4,3
m3glvq_k0_4_k1_3_eta_0003,4,1620,405,0.5663153271848924,0.748792270531401,0.5595667870036101,0.640495867768595,0.5703703703703704,42,"{0: 4, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5767251749133002,0.2760804369362067,0.147194388150493,"[740, 1545, 1101, 1005, 1258, 1270, 1025]","[740, 1545, 1101, 1005]","[1258, 1270, 1025]",4,3
m3glvq_k0_4_k1_4_eta_0003,0,1620,405,0.5886372510737994,0.4615384615384615,0.631578947368421,0.5333333333333333,0.5851851851851851,42,"{0: 4, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5402524545585438,0.32624043304645,0.1335071123950063,"[1352, 1499, 963, 386, 449, 630, 1447, 462]","[1352, 1499, 963, 386]","[449, 630, 1447, 462]",4,4
