run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_8_k1_9_eta_0015,0,1620,405,0.5471129441624365,0.3125,0.6018518518518519,0.41139240506329117,0.5407407407407407,42,"{0: 8, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1385, 1035, 906, 1071, 941, 97, 386, 956, 309, 1095, 957, 147, 178, 604, 807, 378, 548]","[1385, 1035, 906, 1071, 941, 97, 386, 956]","[309, 1095, 957, 147, 178, 604, 807, 378, 548]",8,9
m3glvq_k0_8_k1_9_eta_0015,1,1620,405,0.5532628855915658,0.27403846153846156,0.6333333333333333,0.38255033557046986,0.5456790123456791,42,"{0: 8, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1537, 388, 111, 628, 651, 1055, 507, 741, 623, 984, 1390, 1029, 364, 256, 1349, 1562, 724]","[1537, 388, 111, 628, 651, 1055, 507, 741]","[623, 984, 1390, 1029, 364, 256, 1349, 1562, 724]",8,9
m3glvq_k0_8_k1_9_eta_0015,2,1620,405,0.5421588246778601,0.39903846153846156,0.5724137931034483,0.4702549575070822,0.5382716049382716,42,"{0: 8, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[511, 204, 1001, 636, 400, 855, 1590, 1034, 962, 664, 1025, 87, 136, 1565, 139, 297, 730]","[511, 204, 1001, 636, 400, 855, 1590, 1034]","[962, 664, 1025, 87, 136, 1565, 139, 297, 730]",8,9
m3glvq_k0_8_k1_9_eta_0015,3,1620,405,0.5709266578831796,0.43478260869565216,0.6081081081081081,0.5070422535211269,0.5679012345679012,42,"{0: 8, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[482, 1059, 396, 1483, 179, 1492, 1241, 997, 1003, 817, 1544, 468, 1008, 1087, 763, 375, 143]","[482, 1059, 396, 1483, 179, 1492, 1241, 997]","[1003, 817, 1544, 468, 1008, 1087, 763, 375, 143]",8,9
m3glvq_k0_8_k1_9_eta_0015,4,1620,405,0.5450153711023276,0.3526570048309179,0.584,0.4397590361445783,0.5407407407407407,42,"{0: 8, 1: 9}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[623, 1073, 1087, 384, 233, 14, 809, 1044, 152, 265, 1368, 1364, 83, 834, 388, 1078, 242]","[623, 1073, 1087, 384, 233, 14, 809, 1044]","[152, 265, 1368, 1364, 83, 834, 388, 1078, 242]",8,9
