run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_4_k1_3_eta_001,0,1620,405,0.4955339711050371,0.4326923076923077,0.5084745762711864,0.4675324675324675,0.49382716049382713,42,"{0: 4, 1: 3}",150,0.01,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[906, 887, 1385, 222, 1229, 1252, 462]","[906, 887, 1385, 222]","[1229, 1252, 462]",4,3
m3glvq_k0_4_k1_3_eta_001,1,1620,405,0.5540438305349473,0.42788461538461536,0.5855263157894737,0.49444444444444446,0.5506172839506173,42,"{0: 4, 1: 3}",150,0.01,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[366, 741, 855, 1537, 1442, 692, 201]","[366, 741, 855, 1537]","[1442, 692, 201]",4,3
m3glvq_k0_4_k1_3_eta_001,2,1620,405,0.5639032604451386,0.6201923076923077,0.5707964601769911,0.5944700460829494,0.5654320987654321,42,"{0: 4, 1: 3}",150,0.01,[0.33333333 0.33333333 0.33333333],True,True,True,0.5947189781199236,0.2862207763508793,0.11906024552919714,"[1005, 1247, 1471, 1541, 87, 1392, 1442]","[1005, 1247, 1471, 1541]","[87, 1392, 1442]",4,3
m3glvq_k0_4_k1_3_eta_001,3,1620,405,0.5579710144927537,0.5603864734299517,0.5686274509803921,0.5644768856447688,0.5580246913580247,42,"{0: 4, 1: 3}",150,0.01,[0.33333333 0.33333333 0.33333333],True,True,True,0.7490224601460436,0.241067445546194,0.009910094307762466,"[1536, 801, 957, 302, 468, 260, 1444]","[1536, 801, 957, 302]","[468, 260, 1444]",4,3
m3glvq_k0_4_k1_3_eta_001,4,1620,405,0.5745498462889767,0.7198067632850241,0.5687022900763359,0.6353944562899786,0.5777777777777777,42,"{0: 4, 1: 3}",150,0.01,[0.33333333 0.33333333 0.33333333],True,True,True,0.30247704499718353,0.6962747829700615,0.0012481720327550093,"[1243, 66, 882, 775, 631, 681, 1404]","[1243, 66, 882, 775]","[631, 681, 1404]",4,3
