run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_7_k1_8_eta_0015,0,1620,405,0.5491141155798516,0.3317307692307692,0.6,0.4272445820433436,0.5432098765432098,42,"{0: 7, 1: 8}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1499, 436, 1468, 1204, 1426, 97, 1071, 164, 668, 1175, 309, 1475, 855, 1076, 1287]","[1499, 436, 1468, 1204, 1426, 97, 1071]","[164, 668, 1175, 309, 1475, 855, 1076, 1287]",7,8
m3glvq_k0_7_k1_8_eta_0015,1,1620,405,0.5929080437329168,0.49038461538461536,0.6296296296296297,0.5513513513513514,0.5901234567901235,42,"{0: 7, 1: 8}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[164, 1494, 98, 398, 970, 1055, 366, 780, 145, 1250, 322, 1349, 724, 342, 984]","[164, 1494, 98, 398, 970, 1055, 366]","[780, 145, 1250, 322, 1349, 724, 342, 984]",7,8
m3glvq_k0_7_k1_8_eta_0015,2,1620,405,0.5330925419757907,0.2692307692307692,0.5833333333333334,0.3684210526315789,0.5259259259259259,42,"{0: 7, 1: 8}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,0.0,1.0,0.0,"[400, 1502, 636, 694, 1229, 511, 1247, 364, 1374, 156, 1059, 962, 730, 353, 1046]","[400, 1502, 636, 694, 1229, 511, 1247]","[364, 1374, 156, 1059, 962, 730, 353, 1046]",7,8
m3glvq_k0_7_k1_8_eta_0015,3,1620,405,0.5723539745278876,0.3719806763285024,0.6311475409836066,0.46808510638297873,0.5679012345679012,42,"{0: 7, 1: 8}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1536, 1468, 631, 179, 1065, 482, 1059, 1489, 763, 637, 633, 386, 1262, 621, 143]","[1536, 1468, 631, 179, 1065, 482, 1059]","[1489, 763, 637, 633, 386, 1262, 621, 143]",7,8
m3glvq_k0_7_k1_8_eta_0015,4,1620,405,0.5742204655248133,0.40096618357487923,0.6240601503759399,0.4882352941176471,0.5703703703703704,42,"{0: 7, 1: 8}",150,0.015,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1474, 623, 501, 921, 104, 384, 617, 207, 171, 1025, 1092, 1612, 674, 311, 1368]","[1474, 623, 501, 921, 104, 384, 617]","[207, 171, 1025, 1092, 1612, 674, 311, 1368]",7,8
