run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_6_k1_9_eta_0003,0,1620,405,0.5890033190160093,0.7211538461538461,0.5836575875486382,0.6451612903225806,0.5925925925925926,42,"{0: 6, 1: 9}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5539431003440569,0.3135444959967109,0.13251240365923225,"[1352, 983, 386, 739, 1348, 1499, 147, 366, 1447, 5, 1357, 381, 852, 194, 465]","[1352, 983, 386, 739, 1348, 1499]","[147, 366, 1447, 5, 1357, 381, 852, 194, 465]",6,9
m3glvq_k0_6_k1_9_eta_0003,1,1620,405,0.5211465247950019,0.6971153846153846,0.5291970802919708,0.6016597510373444,0.5259259259259259,42,"{0: 6, 1: 9}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5063371748878988,0.3620033037637508,0.13165952134835027,"[366, 555, 294, 1200, 470, 1494, 753, 724, 725, 232, 145, 1490, 644, 1029, 394]","[366, 555, 294, 1200, 470, 1494]","[753, 724, 725, 232, 145, 1490, 644, 1029, 394]",6,9
m3glvq_k0_6_k1_9_eta_0003,2,1620,405,0.5318479109722765,0.5865384615384616,0.5422222222222223,0.5635103926096998,0.5333333333333333,42,"{0: 6, 1: 9}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5744475441483474,0.2840582212032401,0.14149423464841251,"[1347, 1247, 1541, 511, 701, 549, 1431, 1535, 531, 1361, 136, 1442, 978, 448, 212]","[1347, 1247, 1541, 511, 701, 549]","[1431, 1535, 531, 1361, 136, 1442, 978, 448, 212]",6,9
m3glvq_k0_6_k1_9_eta_0003,3,1620,405,0.5258014931927976,0.642512077294686,0.532,0.5820568927789934,0.528395061728395,42,"{0: 6, 1: 9}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.566661037616291,0.2393275795712812,0.19401138281242766,"[1241, 407, 1492, 1348, 1039, 482, 682, 162, 1003, 771, 1087, 194, 143, 231, 165]","[1241, 407, 1492, 1348, 1039, 482]","[682, 162, 1003, 771, 1087, 194, 143, 231, 165]",6,9
m3glvq_k0_6_k1_9_eta_0003,4,1620,405,0.5809178743961353,0.6618357487922706,0.5805084745762712,0.618510158013544,0.582716049382716,42,"{0: 6, 1: 9}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5667075220220126,0.243736262369508,0.18955621560847935,"[1048, 754, 233, 1104, 873, 775, 1368, 350, 382, 34, 152, 1258, 759, 388, 31]","[1048, 754, 233, 1104, 873, 775]","[1368, 350, 382, 34, 152, 1258, 759, 388, 31]",6,9
