customer_id,y,mu,d_plus,d_minus,knn_purity,knn_mean,view,fold,y_true,y_pred,correct
147458,1,0.0,0.0,0.0,0.2,0.0,naics,1,1,0,0
147515,0,0.0,0.0,0.0,0.5,0.0,naics,3,0,1,0
147519,0,0.9999999999933332,0.15,0.0,0.5,0.1649999999999999,naics,1,0,0,1
147532,0,0.0,0.0,0.0,0.3,0.0,naics,5,0,1,0
147642,1,0.0,0.0,0.0,0.4,0.0,naics,3,1,0,0
147646,0,0.0,0.0,0.0,0.5,0.0,naics,3,0,1,0
147734,0,0.0,0.0,0.0,0.7,0.135,naics,3,0,0,1
14778,1,0.0,0.0,0.0,0.7,0.0,naics,1,1,1,1
147790,0,0.0,0.0,0.0,0.5,0.0,naics,2,0,0,1
147795,1,0.0,0.0,0.0,0.5,0.0,naics,1,1,1,1
147818,1,-0.999999999998182,0.0,0.55,0.9,0.4800000000000001,naics,3,1,0,0
147819,1,-0.999999999998182,0.0,0.55,0.9,0.4800000000000001,naics,1,1,0,0
147849,0,0.0,0.0,0.0,0.7,0.0,naics,2,0,1,0
147905,1,0.0,0.0,0.0,0.6,0.0,naics,3,1,0,0
147909,1,0.0,0.0,0.0,0.7,0.03,naics,5,1,0,0
147975,0,0.0,0.0,0.0,0.5,0.35,naics,5,0,0,1
14801,0,0.0,0.0,0.0,0.1,0.0,naics,5,0,1,0
148075,0,0.0,0.0,0.0,0.6,0.015,naics,3,0,0,1
14814,0,0.0,0.0,0.0,0.3,0.0,naics,2,0,1,0
148153,1,0.0,0.0,0.0,0.3,0.0,naics,3,1,0,0
148242,0,0.0,0.5,0.5,0.6,0.45,naics,3,0,0,1
148364,0,0.0,0.0,0.0,0.7,0.0,naics,2,0,0,1
148409,0,0.0,0.0,0.0,0.7,0.045,naics,1,0,0,1
148522,1,0.0,0.0,0.0,0.7,0.0,naics,1,1,1,1
148621,0,0.0,0.0,0.0,0.9,0.03,naics,1,0,0,1
14863,1,0.0,0.0,0.0,0.7,0.0,naics,3,1,1,1
148630,1,0.0,0.0,0.0,0.5,0.0,naics,1,1,0,0
148664,0,0.0,0.0,0.0,0.6,0.0,naics,1,0,1,0
148665,1,0.0,0.0,0.0,0.5,0.0,naics,1,1,0,0
148666,1,0.0,0.0,0.0,0.6,0.195,naics,1,1,0,0
148691,0,0.0,0.0,0.0,0.8,0.0,naics,5,0,0,1
148746,0,0.0,0.0,0.0,0.5,0.0,naics,3,0,1,0
148781,1,0.0,0.0,0.0,0.4,0.03,naics,4,1,0,0
148790,0,0.0,0.0,0.0,0.4,0.03,naics,4,0,0,1
148848,1,0.0,0.0,0.0,0.9,0.0,naics,3,1,1,1
148887,1,0.0,0.0,0.0,0.2,0.18,naics,4,1,0,0
1489,0,0.0,0.0,0.0,0.5,0.0,naics,1,0,0,1
148919,0,0.0,0.0,0.0,0.1,0.0,naics,1,0,1,0
148924,1,0.0,0.0,0.0,0.6,0.0,naics,1,1,1,1
148995,0,-0.9999999999933332,0.0,0.15,0.8,0.135,naics,3,0,0,1
149014,1,0.0,0.0,0.0,0.6,0.0,naics,5,1,1,1
149091,0,0.0,0.0,0.0,0.7,0.0,naics,3,0,0,1
14915,0,0.0,0.0,0.0,0.7,0.03,naics,3,0,0,1
149173,0,0.0,0.0,0.0,0.3,0.0,naics,4,0,0,1
149280,0,0.0,0.15,0.15,0.3,0.1649999999999999,naics,1,0,0,1
149355,1,0.0,0.0,0.0,0.4,0.0,naics,3,1,0,0
149363,1,0.0,0.0,0.0,0.9,0.0,naics,2,1,1,1
149395,0,0.0,0.0,0.0,0.5,0.06,naics,5,0,1,0
149466,1,0.0,0.0,0.0,0.5,0.03,naics,1,1,0,0
149482,0,0.0,0.0,0.0,0.4,0.0,naics,3,0,0,1
149484,0,0.0,0.0,0.0,0.6,0.0,naics,2,0,0,1
149485,0,0.0,0.0,0.0,0.6,0.0,naics,5,0,0,1
149486,1,0.0,0.0,0.0,0.4,0.0,naics,5,1,0,0
149490,1,0.0,0.0,0.0,0.6,0.0,naics,2,1,0,0
149493,1,0.0,0.0,0.0,0.4,0.0,naics,2,1,0,0
149494,1,0.0,0.0,0.0,0.4,0.0,naics,2,1,0,0
149535,1,0.0,0.0,0.0,0.4,0.0,naics,5,1,0,0
149586,0,0.0,0.0,0.0,0.6,0.0,naics,3,0,0,1
149589,1,0.0,0.0,0.0,0.4,0.0,naics,1,1,0,0
149639,1,0.0,0.0,0.0,0.4,0.0,naics,5,1,0,0
149645,0,0.0,0.0,0.0,0.6,0.0,naics,1,0,0,1
14968,1,0.0,0.0,0.0,0.6,0.0,naics,5,1,1,1
149733,1,0.9999999999933332,0.15,0.0,0.4,0.075,naics,4,1,0,0
149735,0,0.0,0.0,0.0,0.4,0.0,naics,3,0,0,1
