run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_3_k1_10_eta_004,0,1620,405,0.5850131784459196,0.5913461538461539,0.5970873786407767,0.5942028985507247,0.5851851851851851,42,"{0: 3, 1: 10}",150,0.04,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[307, 386, 500, 1339, 1087, 147, 228, 1039, 548, 1566, 581, 626, 1351]","[307, 386, 500]","[1339, 1087, 147, 228, 1039, 548, 1566, 581, 626, 1351]",3,10
m3glvq_k0_3_k1_10_eta_004,1,1620,405,0.5110186450605232,0.5144230769230769,0.5245098039215687,0.5194174757281552,0.5111111111111111,42,"{0: 3, 1: 10}",150,0.04,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[474, 498, 388, 167, 441, 1390, 1084, 521, 151, 148, 1596, 1442, 601]","[474, 498, 388]","[167, 441, 1390, 1084, 521, 151, 148, 1596, 1442, 601]",3,10
m3glvq_k0_3_k1_10_eta_004,2,1620,405,0.5614994142912925,0.6153846153846154,0.5688888888888889,0.5912240184757505,0.562962962962963,42,"{0: 3, 1: 10}",150,0.04,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1566, 1471, 1005, 1320, 978, 360, 183, 581, 385, 142, 1030, 723, 780]","[1566, 1471, 1005]","[1320, 978, 360, 183, 581, 385, 142, 1030, 723, 780]",3,10
m3glvq_k0_3_k1_10_eta_004,3,1620,405,0.5921168203776899,0.6135265700483091,0.5990566037735849,0.6062052505966586,0.5925925925925926,42,"{0: 3, 1: 10}",150,0.04,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1468, 14, 504, 147, 763, 766, 313, 1003, 771, 817, 820, 291, 1008]","[1468, 14, 504]","[147, 763, 766, 313, 1003, 771, 817, 820, 291, 1008]",3,10
m3glvq_k0_3_k1_10_eta_004,4,1620,405,0.5332674571805007,0.7584541062801933,0.5340136054421769,0.626746506986028,0.5382716049382716,42,"{0: 3, 1: 10}",150,0.04,[0.33333333 0.33333333 0.33333333],True,True,True,1.0,0.0,0.0,"[1408, 1013, 384, 376, 574, 1557, 350, 1025, 976, 1564, 758, 759, 49]","[1408, 1013, 384]","[376, 574, 1557, 350, 1025, 976, 1564, 758, 759, 49]",3,10
